IDtrajet,Tags,Ville de Départ,Ville d'arrivée,A partir du,Jusqu'au,Client,Véhicule,Distance / Durée,Devis,Prix,Actions,Départ_Pays,Départ_Latitude,Départ_Longitude,Arrivé_Pays,Arrivé_Latitude,Arrivé_Longitude
734552,,Bassens (FR33),Libourne (FR33),18/03/2024 à 08:30,18/03/2024 à 12:00 Rdv 10:00-12:00,STELLANTIS & YOU BUSINESS,Berline100% Electrique,30 km00h45,6+,~ 52€ PRESTATION,Se certifier au process client,,44.9015003,-0.5163222,,44.9133742,-0.2427217
734734,,Bassens (FR33),Mérignac (FR33),18/03/2024 à 11:00,18/03/2024 à 15:00 Rdv 14:00-15:00,CAT SUD OUEST,SuvHybride,33 km00h45,6+,~ 43€ PRESTATION,Se certifier au service complémentaire,,44.9015003,-0.5163222,,44.842168,-0.6469022
734960,,Bassens (FR33),Tarbes (FR65),19/03/2024 à 08:30,19/03/2024 à 14:00 Rdv 12:00-14:00,STELLANTIS & YOU BUSINESS,Berline100% Electrique,258 km02h30,0-2,~ 101€ PRESTATION,Se certifier au process client,,44.9015003,-0.5163222,,43.232858,0.0781021
733038,,Bassens (FR33),Carcassonne (FR11),20/03/2024 à 08:30,20/03/2024 à 15:00 Rdv 13:00-15:00,STELLANTIS & YOU BUSINESS,Berline100% Electrique,343 km03h15,0-2,~ 130€ PRESTATION,Se certifier au process client,,44.9015003,-0.5163222,,43.2130358,2.3491069
733038,,Bassens (FR33),Carcassonne (FR11),20/03/2024 à 08:30,20/03/2024 à 15:00 Rdv 13:00-15:00,STELLANTIS & YOU BUSINESS,Berline100% Electrique,343 km03h15,0-2,~ 130€ PRESTATION,Se certifier au process client,,44.9015003,-0.5163222,,43.2130358,2.3491069
732348,,Biars-sur-cère (FR46),Castelnau-d\'estrétefonds (FR31),11/03/2024 à 09:00 Rdv 9:00-11:00,11/03/2024 à 16:00,ARVAL MOYENNE DUREE,BerlineThermique,171 km02h00,,123€ TOTAL,Se certifier au process client,,44.9272061,1.8451434,,43.78251,1.3590892
734418,,Bordeaux (FR33),Ambarès-et-lagrave (FR33),19/03/2024 à 14:00 Rdv 14:00-16:00,20/03/2024 à 16:00,STELLANTIS & YOU BUSINESS,SuvThermique,23 km00h30,6+,~ 25€ PRESTATION,Se certifier au process client,,44.841225,-0.5800364,,44.9259011,-0.4881846
730102,,Boulogne-billancourt (FR92),Mitry-mory (FR77),12/03/2024 à 14:00 Rdv 14:00-16:00,12/03/2024 à 16:00,STELLANTIS & YOU BUSINESS,SuvHybride,40 km00h45,0-2,~ 35€ PRESTATION,Se certifier au process client,,48.8356649,2.240206,,48.9839674,2.6183971
733070,,Brussel (BE10),Antwerpen (BE20),07/03/2024 à 09:00,13/03/2024 à 15:00,ARVAL BELGIUM B2C,CitadineThermique,53 km01h00,0-2,~ 41€ PRESTATION,Se certifier au service complémentaire,,50.8550018,4.3512333761166175,,51.2211097,4.3997081
735014,,Bussy-saint-georges (FR77),Flins-sur-seine (FR78),13/03/2024 à 14:00 Rdv 14:00-16:00,13/03/2024 à 16:15,CAT IDF (EX-GROUPE CAT),SuvThermique,79 km01h15,0-2,~ 22€ PRESTATION,Se certifier au process client,,48.8389953,2.7171086,,48.9623407,1.8684146
